Portfolio Name,Category,Set,Product Name,Card Number,Rarity,Variance,Grade,Card Condition,Average Cost Paid,Quantity,Market Price (As of 2026-08-31),Price Override,Watchlist,Date Added,Notes
,Pokemon,Prismatic Evolutions,Umbreon ex,161/131,Special Illustration Rare,,,,,,"1,465.99",0,true,,
Main,Magic: The Gathering,Marvel Eternal-Legal,Rest in Peace (Borderless),6,M,Normal,Ungraded,Near Mint,0,1,2.23,0,false,2026-08-18,
Main,Magic: The Gathering,Marvel's Spider-Man,Eddie Brock (0233) (Borderless),233,M,Foil,Ungraded,Near Mint,0.0000,1,142.41,0,false,2026-08-11,
Main,Magic: The Gathering,Marvel's Spider-Man,"Iron Spider, Stark Upgrade (Extended Art)",279,R,Normal,Ungraded,Near Mint,0,1,2.52,0,false,2026-08-18,
Main,Magic: The Gathering,Marvel's Spider-Man,Marvel's Spider-Man - Gift Bundle,,,Normal,Ungraded,Near Mint,43.4028,4,95.9,0,false,2026-08-11,; 
Main,Magic: The Gathering,Marvel's Spider-Man,Multiversal Passage (Borderless),206,R,Normal,Ungraded,Near Mint,0,1,7.35,0,false,2026-08-22,
Main,Magic: The Gathering,Marvel's Spider-Man,Spectacular Spider-Man (Borderless),14,R,Foil,Ungraded,Near Mint,0,1,10.85,0,false,2026-08-22,
Main,Magic: The Gathering,Marvel's Spider-Man,Spider-Verse,93,M,Foil,Ungraded,Near Mint,0,1,1.99,0,false,2026-08-18,
Main,Magic: The Gathering,Marvel's Spider-Man,The Death of Gwen Stacy (Borderless),223,R,Foil,Ungraded,Near Mint,0,1,0.9,0,false,2026-08-18,
Main,Magic: The Gathering,Marvel's Spider-Man,The Soul Stone,66,M,Normal,Ungraded,Near Mint,0,1,99.84,0,false,2026-08-22,
Main,Magic: The Gathering,Marvel Super Heroes,"Captain America, Super-Soldier (Borderless)",387,M,Foil,Ungraded,Near Mint,0,1,64.33,0,false,2026-08-19,
Main,Magic: The Gathering,Marvel Super Heroes,Doctor Doom (Borderless),394,M,Foil,Ungraded,Near Mint,0,1,139.61,0,false,2026-08-20,
Main,Magic: The Gathering,Marvel Super Heroes,Marvel Super Heroes - Gift Bundle,,,Normal,Ungraded,Near Mint,84.6882,1,76.2,0,false,2026-08-11,
Main,Magic: The Gathering,Marvel Super Heroes,The Mind Stone,21,M,Normal,Ungraded,Near Mint,0,1,50.53,0,false,2026-08-22,
Main,Magic: The Gathering,Marvel Super Heroes,"Thor, God of Thunder (Borderless) (0369)",369,M,Normal,Ungraded,Near Mint,0,1,29.29,0,false,2026-08-22,
